token,symbol,name,exch_seg
15389,GAMMNINFRA-EQ,GAMMNINFRA,NSE
17939,HINDCOPPER-EQ,HINDCOPPER,NSE
2269,182D190821-TB,182D190821,NSE
31711,UFDHIPIGII-MF,UFDHIPIGII,NSE
22293,65RJ50-SG,65RJ50,NSE
19508,SREIBNPNCD-NJ,SREIBNPNCD,NSE
10297,PPL-EQ,PPL,NSE
18067,BPF02IQD-MF,BPF02IQD,NSE
17252,ABMINTLTD-BL,ABMINTLTD,NSE
20017,72KA31-SG,72KA31,NSE
10209,UTRAP31P15-MF,UTRAP31P15,NSE
15039,CERA-EQ,CERA,NSE
15020,MAANALU-BL,MAANALU,NSE
12843,TRENT-BL,TRENT,NSE
19067,IIFL-NC,IIFL,NSE
18585,KIRLOSBROS-BL,KIRLOSBROS,NSE
12731,SALSTEEL-BL,SALSTEEL,NSE
10453,SATIN-EQ,SATIN,NSE
11496,AMBICAAGAR-EQ,AMBICAAGAR,NSE
18662,MARATHON-BL,MARATHON,NSE
22027,701PY26-SG,701PY26,NSE
15590,HCG-BL,HCG,NSE
14706,NAGREEKEXP-BL,NAGREEKEXP,NSE
19930,HUDCO-N9,HUDCO,NSE
25361,PGEL-BL,PGEL,NSE
1848,UTIRAP28PX-MF,UTIRAP28PX,NSE
14935,ISMTLTD-BL,ISMTLTD,NSE
21896,625RJ22-SG,625RJ22,NSE
14986,CENTUM-BL,CENTUM,NSE
22605,PFS-BL,PFS,NSE
20076,INTENTECH-BL,INTENTECH,NSE
15199,MANAKSIA-EQ,MANAKSIA,NSE
4713,FIFMPS4DG-MF,FIFMPS4DG,NSE
14841,DECCANCE-BL,DECCANCE,NSE
1633,IPCALAB-EQ,IPCALAB,NSE
11187,IDFCFIRSTB-BL,IDFCFIRSTB,NSE
9541,SAKAR-BL,SAKAR,NSE
12159,TIPSINDLTD-BL,TIPSINDLTD,NSE
81,BETA-SM,BETA,NSE
18176,IFD3DPD-MF,IFD3DPD,NSE
17049,HINDNATGLS-BL,HINDNATGLS,NSE
8417,HAVISHA-BE,HAVISHA,NSE
2810,SGBMR29XII-GB,SGBMR29XII,NSE
2882,RELCAPITAL-EQ,RELCAPITAL,NSE
3977,H1122D41RQ-MF,H1122D41RQ,NSE
22178,655WB30-SG,655WB30,NSE
