token,symbol,name
4870,INDSWFTLAB-EQ,INDSWFTLAB
9590,POLYCAB-EQ,POLYCAB
958,ESCORTS-EQ,ESCORTS
527,UTIAMC-EQ,UTIAMC
3906,CAPLIPOINT-EQ,CAPLIPOINT
3965,REMSONSIND-EQ,REMSONSIND
11677,INDOCO-EQ,INDOCO
1922,KOTAKBANK-EQ,KOTAKBANK
4037,AUSOMENT-EQ,AUSOMENT
15229,LICNFNHGP-EQ,LICNFNHGP
30038,FCONSUMER-EQ,FCONSUMER
2535,PGHH-EQ,PGHH
4775,DCMFINSERV-EQ,DCMFINSERV
14466,KIRLFER-EQ,KIRLFER
4067,MARICO-EQ,MARICO
24948,L&TFH-EQ,L&TFH
22433,HBANKETF-EQ,HBANKETF
11351,PETRONET-EQ,PETRONET
14043,SARLAPOLY-EQ,SARLAPOLY
477,BIRLACABLE-EQ,BIRLACABLE
18378,FRETAIL-EQ,FRETAIL
6908,VISHNU-EQ,VISHNU
13786,TORNTPOWER-EQ,TORNTPOWER
15362,VGUARD-EQ,VGUARD
8954,TTML-EQ,TTML
184,TCPLPACK-EQ,TCPLPACK
2918,ROLTA-EQ,ROLTA
17922,GEEKAYWIRE-EQ,GEEKAYWIRE
20086,CAREERP-EQ,CAREERP
14707,TIMETECHNO-EQ,TIMETECHNO
1570,GMMPFAUDLR-EQ,GMMPFAUDLR
21690,DIXON-EQ,DIXON
17514,SETCO-EQ,SETCO
335,BALKRISIND-EQ,BALKRISIND
14557,AROGRANITE-EQ,AROGRANITE
1406,HINDPETRO-EQ,HINDPETRO
14101,PTL-EQ,PTL
11387,UMANGDAIRY-EQ,UMANGDAIRY
15377,PDMJEPAPER-EQ,PDMJEPAPER
17770,GROBTEA-EQ,GROBTEA
18118,THANGAMAYL-EQ,THANGAMAYL
15083,ADANIPORTS-EQ,ADANIPORTS
14470,JMTAUTOLTD-EQ,JMTAUTOLTD
30752,FLFL-EQ,FLFL
21704,DCAL-EQ,DCAL
6711,IVC-EQ,IVC
1681,IVP-EQ,IVP
4127,SAMBHAAV-EQ,SAMBHAAV
24999,YAARII-EQ,YAARII
7851,RAMCOSYS-EQ,RAMCOSYS
4136,BIOFILCHEM-EQ,BIOFILCHEM
11773,VISHAL-EQ,VISHAL
7053,ACCELYA-EQ,ACCELYA
13875,JINDRILL-EQ,JINDRILL
17069,UJJIVAN-EQ,UJJIVAN
11880,JSWHL-EQ,JSWHL
11705,XCHANGING-EQ,XCHANGING
9552,RVNL-EQ,RVNL
1497,SHIVAMILLS-EQ,SHIVAMILLS
2809,RAJSREESUG-EQ,RAJSREESUG
29113,CARERATING-EQ,CARERATING
25634,ESSARSHPNG-EQ,ESSARSHPNG
3718,VOLTAS-EQ,VOLTAS
11927,NECLIFE-EQ,NECLIFE
3721,TATACOMM-EQ,TATACOMM
16913,ARTEMISMED-EQ,ARTEMISMED
31138,COMPUSOFT-EQ,COMPUSOFT
17270,ASPINWALL-EQ,ASPINWALL
7852,INOXWIND-EQ,INOXWIND
8998,MRO-TEK-EQ,MRO-TEK
11355,PTC-EQ,PTC
10794,CANBK-EQ,CANBK
13400,BHAGERIA-EQ,BHAGERIA
2720,PREMIER-EQ,PREMIER
